type,game_id,team_home,team_away,schedule_week,schedule_season,state_of_game,game_url,home_score,away_score
pre,2009080950,TEN,BUF,0,2009,POST,http://www.nfl.com/liveupdate/game-center/2009080950/2009080950_gtd.json,21,18
pre,2009081351,PHI,NE,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081351/2009081351_gtd.json,25,27
pre,2009081352,BAL,WAS,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081352/2009081352_gtd.json,23,0
pre,2009081350,PIT,ARI,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081350/2009081350_gtd.json,20,10
pre,2009081353,OAK,DAL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081353/2009081353_gtd.json,31,10
pre,2009081450,NYJ,STL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081450/2009081450_gtd.json,20,23
pre,2009081451,IND,MIN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081451/2009081451_gtd.json,3,13
pre,2009081452,NO,CIN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081452/2009081452_gtd.json,17,7
pre,2009081453,SF,DEN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081453/2009081453_gtd.json,17,16
pre,2009081550,DET,ATL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081550/2009081550_gtd.json,27,26
pre,2009081551,BUF,CHI,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081551/2009081551_gtd.json,27,20
pre,2009081552,GB,CLE,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081552/2009081552_gtd.json,17,0
pre,2009081553,KC,HOU,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081553/2009081553_gtd.json,10,16
pre,2009081554,TEN,TB,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081554/2009081554_gtd.json,27,20
pre,2009081555,SD,SEA,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081555/2009081555_gtd.json,14,20
pre,2009081751,MIA,JAC,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081751/2009081751_gtd.json,12,9
pre,2009081750,NYG,CAR,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009081750/2009081750_gtd.json,24,17
pre,2009082051,NE,CIN,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082051/2009082051_gtd.json,6,7
pre,2009082050,IND,PHI,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082050/2009082050_gtd.json,23,15
pre,2009082151,STL,ATL,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082151/2009082151_gtd.json,13,20
pre,2009082150,DAL,TEN,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082150/2009082150_gtd.json,30,10
pre,2009082152,MIN,KC,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082152/2009082152_gtd.json,17,13
pre,2009082252,WAS,PIT,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082252/2009082252_gtd.json,17,13
pre,2009082251,CLE,DET,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082251/2009082251_gtd.json,27,10
pre,2009082250,MIA,CAR,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082250/2009082250_gtd.json,27,17
pre,2009082253,JAC,TB,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082253/2009082253_gtd.json,23,24
pre,2009082255,HOU,NO,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082255/2009082255_gtd.json,14,38
pre,2009082256,CHI,NYG,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082256/2009082256_gtd.json,17,3
pre,2009082254,GB,BUF,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082254/2009082254_gtd.json,31,21
pre,2009082257,SF,OAK,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082257/2009082257_gtd.json,21,20
pre,2009082258,ARI,SD,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082258/2009082258_gtd.json,6,17
pre,2009082259,SEA,DEN,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082259/2009082259_gtd.json,27,13
pre,2009082450,BAL,NYJ,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082450/2009082450_gtd.json,24,23
pre,2009082751,PHI,JAC,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082751/2009082751_gtd.json,33,32
pre,2009082752,CIN,STL,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082752/2009082752_gtd.json,21,24
pre,2009082750,TB,MIA,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082750/2009082750_gtd.json,6,10
pre,2009082850,WAS,NE,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082850/2009082850_gtd.json,24,27
pre,2009082851,ARI,GB,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082851/2009082851_gtd.json,37,44
pre,2009082951,DET,IND,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082951/2009082951_gtd.json,18,17
pre,2009082952,OAK,NO,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082952/2009082952_gtd.json,7,45
pre,2009082954,CLE,TEN,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082954/2009082954_gtd.json,23,17
pre,2009082953,PIT,BUF,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082953/2009082953_gtd.json,17,0
pre,2009082956,NYG,NYJ,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082956/2009082956_gtd.json,25,27
pre,2009082958,KC,SEA,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082958/2009082958_gtd.json,10,14
pre,2009082955,CAR,BAL,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082955/2009082955_gtd.json,13,17
pre,2009082950,ATL,SD,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082950/2009082950_gtd.json,27,24
pre,2009082957,DAL,SF,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009082957/2009082957_gtd.json,13,20
pre,2009083050,DEN,CHI,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009083050/2009083050_gtd.json,17,27
pre,2009083150,HOU,MIN,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009083150/2009083150_gtd.json,10,17
