schedule_season,team_home,off_rate,def_rate,overall_rate,sched_strength,first_downs,first_downs_from_penalties,fumbles,interceptions,margin_of_victory,pass_attempts,pass_completions,pass_first_downs,pass_touchdowns,pass_yards,penalties,plays,points_against,points_contributed_by_offense,points_difference,points_for,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,turnovers,yards,yards_from_penalties,yards_per_play
2002,KAN,8.4,-2.3,6.1,1.9,343,24,2,13,4.3,477,292,179,27,3622,75,965,399,145.45,68,467,1,462,140,26,2378,15,6000,700,6.2
2002,RAI,6.3,4.3,10.6,1.5,366,27,9,10,9.1,619,418,226,26,4475,129,1069,304,123.35,146,450,2,414,113,21,1762,19,6237,1094,5.8
2002,NOR,5.8,-3.3,2.4,-0.3,291,31,15,15,2.8,538,291,169,27,3441,119,1001,388,-77.44,44,432,3,426,91,16,1764,30,5205,911,5.2
2002,PHI,4.5,3.8,8.3,-2.6,311,23,13,11,10.9,548,318,164,27,3384,111,1073,241,-15.34,174,415,4,489,124,15,2220,24,5604,897,5.2
2002,ATL,3.5,1.5,5.1,-0.4,316,30,15,12,5.5,479,268,163,18,3167,105,1038,314,38.4,88,402,5,523,123,23,2368,27,5535,931,5.3
2002,GNB,2.4,1.2,3.6,-0.8,318,27,12,16,4.4,580,361,197,29,3627,108,1058,328,-6.25,70,398,6,451,94,12,1933,28,5560,913,5.3
2002,DEN,3.0,1.9,4.9,1.9,357,33,7,20,3.0,554,359,199,21,3824,104,1057,344,42.47,48,392,7,457,125,21,2266,27,6090,877,5.8
2002,PIT,3.1,-0.4,2.7,-0.1,343,24,14,22,2.8,551,350,200,26,3832,90,1097,345,1.38,45,390,8,512,119,15,2120,36,5952,712,5.4
2002,MIN,3.1,-6.1,-3.0,0.2,350,20,18,23,-3.3,558,337,191,19,3685,137,1080,442,66.42,-52,390,9,473,139,26,2507,41,6192,1139,5.7
2002,NWE,2.1,1.9,4.0,1.8,304,21,10,14,2.2,605,374,184,28,3577,108,1031,346,-32.13,35,381,10,395,99,9,1508,24,5085,895,4.9
2002,BUF,2.1,-2.3,-0.3,0.9,355,47,16,15,-1.1,612,377,218,24,3995,112,1054,397,8.45,-18,379,11,388,90,17,1596,31,5591,1031,5.3
2002,MIA,1.7,4.4,6.1,1.2,318,24,15,15,4.8,455,271,155,18,2890,103,1010,301,-18.71,77,378,12,530,139,24,2502,30,5392,859,5.3
2002,SFO,0.7,-0.1,0.6,-0.4,342,19,7,10,1.0,571,354,182,23,3457,87,1082,351,66.68,16,367,13,489,141,16,2244,17,5701,725,5.3
2002,OTI,1.6,0.1,1.8,-0.9,312,18,10,15,2.7,500,306,182,22,3320,112,1032,324,9.52,43,367,14,511,112,16,1952,25,5272,891,5.1
2002,NYJ,0.9,2.3,3.2,1.7,300,24,9,10,1.4,485,329,190,25,3418,79,917,336,34.42,23,359,15,400,86,12,1618,19,5036,685,5.5
2002,SEA,0.0,-1.2,-1.3,-0.4,347,35,12,16,-0.9,587,361,208,19,4078,100,1050,369,28.89,-14,355,16,430,104,17,1740,28,5818,792,5.5
2002,CLT,0.4,0.7,1.2,-1.1,324,18,13,19,2.3,591,392,213,27,4055,91,1048,313,-4.6,36,349,17,434,93,12,1561,32,5616,730,5.4
2002,TAM,-1.0,9.8,8.8,-0.6,287,25,11,10,9.4,567,348,172,23,3445,103,1022,196,-43.76,150,346,18,414,90,6,1557,21,5002,789,4.9
2002,CLE,-0.4,1.7,1.2,-0.3,279,31,9,22,1.5,552,338,171,27,3412,107,993,320,-34.95,24,344,19,406,77,10,1615,31,5027,845,5.1
2002,SDG,-1.0,0.2,-0.7,1.4,313,30,8,16,-2.1,538,324,166,17,3188,100,1028,367,4.14,-34,333,20,466,117,19,2137,24,5325,805,5.2
2002,JAX,-1.3,1.1,-0.2,-1.0,275,14,6,9,0.8,462,268,156,18,2762,89,959,315,0.42,13,328,21,455,105,19,2089,15,4851,685,5.1
2002,NYG,-2.2,3.0,0.8,-1.7,323,33,13,14,2.6,549,338,195,19,3951,113,1059,279,3.07,41,320,22,486,95,14,1875,27,5826,955,5.5
2002,RAV,-1.5,-0.6,-2.1,0.3,261,26,18,14,-2.4,479,262,145,20,2847,101,947,354,-74.46,-38,316,23,427,90,9,1792,32,4639,846,4.9
2002,RAM,-1.6,-1.8,-3.3,0.0,315,20,18,27,-3.3,635,408,219,24,4154,120,1024,369,-83.04,-53,316,24,343,76,11,1405,45,5559,919,5.4
2002,WAS,-2.2,-2.2,-4.5,-0.8,303,31,20,20,-3.6,559,300,165,24,3254,116,1039,365,-73.72,-58,307,25,442,107,10,1889,40,5143,968,4.9
2002,DET,-2.5,-6.7,-9.2,-0.1,242,23,6,25,-9.1,577,277,150,19,2994,104,955,451,-123.66,-145,306,26,358,69,9,1477,31,4471,916,4.7
2002,CHI,-4.4,-0.9,-5.3,0.9,260,25,17,18,-6.1,543,310,156,22,3051,95,969,379,-162.12,-98,281,27,382,79,8,1344,35,4395,864,4.5
2002,CIN,-3.6,-6.9,-10.5,0.6,315,24,13,22,-11.1,591,350,186,17,3476,99,1054,456,-71.35,-177,279,28,426,105,13,1730,35,5206,884,4.9
